codigo_tema,area_evaluada,tema_principal,canal_sugerido,youtube_url,youtube_video_id
CN001,Ciencias Naturales,Estructura celular,@educatina,https://www.youtube.com/watch?v=EBjcb2C6RW0,EBjcb2C6RW0
CN002,Ciencias Naturales,Procesos vitales - Respiración celular,@educatina,https://www.youtube.com/watch?v=YefwfJ8IpEI,YefwfJ8IpEI
CN003,Ciencias Naturales,Genética básica - Leyes de Mendel,@educatina,https://www.youtube.com/watch?v=LXXK2l1pdv8,LXXK2l1pdv8
CN004,Ciencias Naturales,Procesos vitales - Fotosíntesis,@educatina,https://www.youtube.com/watch?v=sSYV0FcHbPk,sSYV0FcHbPk
CN005,Ciencias Naturales,Transporte celular,@educatina,https://www.youtube.com/watch?v=yzkohlVwaB8,yzkohlVwaB8
CN006,Ciencias Naturales,Mitosis,@educatina,https://www.youtube.com/watch?v=nmB7db5gPW8,nmB7db5gPW8
CN007,Ciencias Naturales,Meiosis,@educatina,https://www.youtube.com/watch?v=FphFxayBcX0,FphFxayBcX0
CN008,Ciencias Naturales,ADN y ARN (visión general / transcripción),@educatina,https://www.youtube.com/watch?v=LAFIV747j4c,LAFIV747j4c
CN009,Ciencias Naturales,Síntesis de proteínas,@educatina,https://www.youtube.com/watch?v=6VIkfSvB02w,6VIkfSvB02w
CN010,Ciencias Naturales,Mutaciones,@educatina,https://www.youtube.com/watch?v=FPjAXI0UHC8,FPjAXI0UHC8
CN011,Ciencias Naturales,Biomoléculas - Carbohidratos (glúcidos),@unProfesor,https://www.youtube.com/watch?v=9_p8ucAG3Iw,9_p8ucAG3Iw
CN012,Ciencias Naturales,Biomoléculas - Proteínas,@educatina,https://www.youtube.com/watch?v=Q03JCbEH2QQ,Q03JCbEH2QQ
CN013,Ciencias Naturales,Biomoléculas - Lípidos,@educatina,https://www.youtube.com/watch?v=iUJGSgglBL8,iUJGSgglBL8
CN014,Ciencias Naturales,Enzimas,@educatina,https://www.youtube.com/watch?v=U1BqsQR8HMQ,U1BqsQR8HMQ
CN015,Ciencias Naturales,Sistema digestivo,@educatina,https://www.youtube.com/watch?v=_bd9QwUMGjU,_bd9QwUMGjU
CN016,Ciencias Naturales,Sistema respiratorio,@educatina,https://www.youtube.com/watch?v=Wq_bPoRTn7I,Wq_bPoRTn7I
CN017,Ciencias Naturales,Sistema circulatorio,@educatina,https://www.youtube.com/watch?v=l_izwVU2MTI,l_izwVU2MTI
CN018,Ciencias Naturales,Sistema excretor,@educatina,https://www.youtube.com/watch?v=f6rJ83TRm_g,f6rJ83TRm_g
CN019,Ciencias Naturales,Sistema nervioso,@educatina,https://www.youtube.com/watch?v=krqempHBRAc,krqempHBRAc
CN020,Ciencias Naturales,Sistema endocrino,@educatina,https://www.youtube.com/watch?v=TTdvcTW1q8k,TTdvcTW1q8k
CN021,Ciencias Naturales,Sistema inmunológico,@educatina,https://www.youtube.com/watch?v=pwhLRga2pg4,pwhLRga2pg4
CN022,Ciencias Naturales,Sistema reproductor,@educatina,https://www.youtube.com/watch?v=mFrsphXEQAc,mFrsphXEQAc
CN023,Ciencias Naturales,Sistema óseo,@educatina,https://www.youtube.com/watch?v=M_AQMAWbbls,M_AQMAWbbls
CN024,Ciencias Naturales,Sistema muscular,@educatina,https://www.youtube.com/watch?v=h5BZSYi7YRY,h5BZSYi7YRY
CN025,Ciencias Naturales,Los sentidos,@educatina,https://www.youtube.com/watch?v=IhO5Je1Puyw,IhO5Je1Puyw
CN026,Ciencias Naturales,Evolución - Teoría de Darwin,@educatina,https://www.youtube.com/watch?v=wQ7feKn0vyc,wQ7feKn0vyc
CN027,Ciencias Naturales,Adaptaciones,@educatina,https://www.youtube.com/watch?v=A_dc33rlvCM,A_dc33rlvCM
CN028,Ciencias Naturales,Selección natural,@educatina,https://www.youtube.com/watch?v=Hut5uxHda38,Hut5uxHda38
CN029,Ciencias Naturales,Especiación,@educatina,https://www.youtube.com/watch?v=jQFSCmSu5XM,jQFSCmSu5XM
CN030,Ciencias Naturales,Evidencias de la evolución,@educatina,https://www.youtube.com/watch?v=wI4TT8aJuos,wI4TT8aJuos
CN031,Ciencias Naturales,Ecosistemas,@educatina,https://www.youtube.com/watch?v=QDCohXW6blg,QDCohXW6blg
CN032,Ciencias Naturales,Cadenas y redes tróficas,@educatina,https://www.youtube.com/watch?v=RDBlt6vBLxI,RDBlt6vBLxI
CN033,Ciencias Naturales,Ciclos biogeoquímicos,@educatina,https://www.youtube.com/watch?v=qZ7Y92MRpno,qZ7Y92MRpno
CN034,Ciencias Naturales,Relaciones ecológicas,@educatina,https://www.youtube.com/watch?v=KYldDXWI0EY,KYldDXWI0EY
CN035,Ciencias Naturales,Biomas,@educatina,https://www.youtube.com/watch?v=BLrh75xaymE,BLrh75xaymE
CN036,Ciencias Naturales,Biodiversidad,@educatina,https://www.youtube.com/watch?v=IKVXwH0-gTc,IKVXwH0-gTc
CN037,Ciencias Naturales,Contaminación ambiental,@educatina,https://www.youtube.com/watch?v=Xvno5NeanxU,Xvno5NeanxU
CN038,Ciencias Naturales,Cambio climático,@educatina,https://www.youtube.com/watch?v=60go-4haeXw,60go-4haeXw
CN039,Ciencias Naturales,Recursos naturales,@educatina,https://www.youtube.com/watch?v=xfvuQSJD2HM,xfvuQSJD2HM
CN040,Ciencias Naturales,Desarrollo sostenible,@educatina,https://www.youtube.com/watch?v=PKS22hWZfKU,PKS22hWZfKU
CN041,Ciencias Naturales,Cinemática - MRU,@julioprofe,https://www.youtube.com/watch?v=9HGddSe77hM,9HGddSe77hM
CN042,Ciencias Naturales,Cinemática - MRUV,@julioprofe,https://www.youtube.com/watch?v=6lb7_rP0bY0,6lb7_rP0bY0
CN043,Ciencias Naturales,Caída libre,@julioprofe,https://www.youtube.com/watch?v=a4iiyGTMl2Q,a4iiyGTMl2Q
CN044,Ciencias Naturales,Movimiento parabólico,@julioprofe,https://www.youtube.com/watch?v=6eOlMVv7Aj0,6eOlMVv7Aj0
CN045,Ciencias Naturales,Movimiento circular,@julioprofe,https://www.youtube.com/watch?v=LQb_Bgq7u4Y,LQb_Bgq7u4Y
CN046,Ciencias Naturales,Leyes de Newton,@julioprofe,https://www.youtube.com/watch?v=ldfwAuE4Rho,ldfwAuE4Rho
CN047,Ciencias Naturales,Fuerza y tipos de fuerzas,@julioprofe,https://www.youtube.com/watch?v=E-PDr7O8hh0,E-PDr7O8hh0
CN048,Ciencias Naturales,Trabajo y energía,@julioprofe,https://www.youtube.com/watch?v=Kmg5h1mqmto,Kmg5h1mqmto
CN049,Ciencias Naturales,Conservación de la energía,@julioprofe,https://www.youtube.com/watch?v=EXeUfZd2f78,EXeUfZd2f78
CN050,Ciencias Naturales,Potencia mecánica,@julioprofe,https://www.youtube.com/watch?v=IhsCqOe72K8,IhsCqOe72K8
CN051,Ciencias Naturales,Movimiento circular,@julioprofe,https://www.youtube.com/watch?v=v6J_bFLZCFE,v6J_bFLZCFE
CN052,Ciencias Naturales,Problemas ambientales,@educatina,https://www.youtube.com/watch?v=QjmIIKWeWg4,QjmIIKWeWg4
CN053,Ciencias Naturales,Leyes de Newton,@julioprofe,https://www.youtube.com/watch?v=dWi5BIWVcfY,dWi5BIWVcfY
CN054,Ciencias Naturales,Trabajo y potencia,@julioprofe,https://www.youtube.com/watch?v=tB5-NPxqueQ,tB5-NPxqueQ
CN055,Ciencias Naturales,Impulso y momento,@julioprofe,https://www.youtube.com/watch?v=cDvgPFbZNmI,cDvgPFbZNmI
CN056,Ciencias Naturales,Fluidos estática,@educatina,https://www.youtube.com/watch?v=lkA47yDKGBc,lkA47yDKGBc
